Ref,Val,Package,PosX,PosY,Rot,Side
"U3","ADP150-3.3","TSOT-23-5",-248.767600,-112.242600,0.000000,bottom
"U4","TLV9304","SOIC-14_3.9x8.7mm_P1.27mm",-259.842000,-40.360600,180.000000,bottom
"U5","TLV9304","SOIC-14_3.9x8.7mm_P1.27mm",-259.740400,-56.007000,180.000000,bottom
"U6","TLV9304","SOIC-14_3.9x8.7mm_P1.27mm",-259.754600,-84.048600,180.000000,bottom
"U7","TLV9302","SOIC-8_3.9x4.9mm_P1.27mm",-259.613400,-70.027800,180.000000,bottom
"U8","TLV9304","SOIC-14_3.9x8.7mm_P1.27mm",-215.900000,-41.402000,180.000000,bottom
"U9","TLV9304","SOIC-14_3.9x8.7mm_P1.27mm",-215.900000,-59.436000,180.000000,bottom
"U10","TLV9304","SOIC-14_3.9x8.7mm_P1.27mm",-215.900000,-75.692000,180.000000,bottom
"U11","SN74LV1T34DBV","SOT-23-5",-224.809900,-33.822600,180.000000,bottom
"U12","MCP6004","SO-14_3.9x8.65mm_P1.27mm",-216.916000,-94.488000,180.000000,bottom
"U13","MCP6002-xSN","SOIC-8_3.9x4.9mm_P1.27mm",-260.223000,-97.917000,180.000000,bottom
"U19","TL071","SOIC-8_3.9x4.9mm_P1.27mm",-241.655600,-111.226600,180.000000,bottom
